10 Cats;Realistic Fiction;Sequence of Events             predict;Nine cats play and sleep when a tenth cat falls among them.
Cat;Realistic Fiction;Short a words;The cat in the story sits on the mat.
Cat and Dog;Realistic Fiction;"Sequence of Events  
predict";A feuding dog and cat chase each other off the same comfortable chair, but both end up napping on the mat in peace.
Cat on the Mat;Realistic Fiction;Short a words;The cat in this story sits on a mat and looks out the window.
Cat Sat;Fantasy;Short a words;This book contains a series of short a rhyming words.
Cat Sat;Realistic Fiction;Consonants m, s, c, t      Short a (VC / CVC);The cat sat in the garden, and then on the mat.
Cats;Informational;Sequence of Events    predict;Cats do all sorts of interesting things.
Cat's Surprise;Realistic Fiction;wordless story;This story is about the surprise a family's cat has for them.
Dig and Dip;Fantasy;Consonant d;Don the Dog digs in the dirt and then hops around the house. Mom and Dad find Don and make him dip the mop and clean up his mess.
Fan;Fantasy;Short i words;Fan, the ant, ate a bit of an apple, a bit of an orange and a bit of a cookie and then quit because she was full.
Fan Fan Fan;Humorous Fiction;Consonant f;Sam, Pam and the cat take turns fanning one another.
Farm Animals;Informational;Compare and Contrast;Animals of all sizes live on a farm.
Fat Cat;Realistic Fiction;Short a words;Fat Cat sits on the blanket with Nan, Pat, Nat, and Fan. All the children pat the cat.
First Day of School;wordless;Compare and Contrast;This wordless book allows readers to compare and contrast their first day of school with the girl in the story.
Friends;Informational;Cause and Effect;This nonfiction book describes a variety of activities friends do together.
Fruit;Informational;Making Predictions;This nonfiction book introduces readers to a variety of fruits.
Go, Cat!;Fantasy;Short a words;Nan, Pat, Van and Cat are all in a race together.
Going to School;Realistic Fiction;  Noting Details                       question;The character in this story is getting ready to go to school. She packs her backpack with all the supplies                            she will need.
Ham! Ham! Ham!;Realistic Fiction;Consonant h;Tim and Mim both eat ham.
Happy Birthday, Brother!;Realistic Fiction;question;A boy has a birthday party with a cake, candles, and a surprise.
Have a Hug;Realistic Fiction;Initial b and g                Phogram -ug;The brother in this book tells the story - will he hug his father, mother, grandmother, and sister?
Here Is Hen;Fantasy;evaluate;Some farm animals want to go into the field, but it is Hen who unlatches the gate.
Here, Bam Bam;Realistic Fiction;Consonant b;Bam Bam the dog bites a bag and a bib until the boy tells him to sit.
How I Move (Physical Science);Realistic Fiction;Compare and Contrast;Explore the different ways a child can move.
How Many Animals?;Informational;Respond;In this book, children will learn to name and count animals.
How to Make a Salad;Informational;Respond;A father and son make a salad together.
I Am Water;Realistic Fiction;Compare and Contrast;A picture book that shows the different forms of water and how the water changes.
I Can Change Things! (Physical Science);Informational;Compare and Contrast;A book that describes how different objects may change over time. 
I Can Move!;Informational;Respond;Children exercise all parts of their bodies.
I Can See;Realistic Fiction;Noting Details;A book describing landforms. 
I Can, I Can!;Informational;Compare and Contrast;In this book, the author tells all the things that she can do - shown in photographs and described in patterned sentences.
I Like Birthday Cakes  ;Realistic Fiction;High Frequency Words: to;The girl in this story tells the reader how she likes to make and eat birthday cake.
I Like My Ball  ;Realistic Fiction;High Frequency Words:                           I, see, like, my;A boy tells the reader all the things he sees and likes, including his ball. 
I Like My Family  ;Realistic Fiction;High Frequency Words:                           I, see, like, my;The girl in this story tells the reader about her family.
I Like My Grandparents  ;Realistic Fiction;High Frequency Words:                           I, see, like, my, a, to;The girl in this story tells the reader how much she likes her grandparents.
I Like My House  ;Realistic Fiction;High Frequency Words:                           I, see, like, my;The girl in this story tells the reader all the things she sees and likes, including her house.
I Like My Lunch!  ;Realistic Fiction;High Frequency Words: like;The boy in this story tells the reader all the things he likes in his lunch.
I Like My School  ;Realistic Fiction;High Frequency Words:                           I, see, like, my, a, to;Readers learn all about what the boy in this story likes about his walk to school.
I Like Rainbows  ;Realistic Fiction;High Frequency Words:                           I, see, like, my, a;The girl in this story tells readers about a rainstorm she sees, and the rainbow that appears after the rain has stopped. 
I Like to Read  ;Realistic Fiction;High Frequency Words:                           I, see, like, my, a, to;The boy in this story tells the reader how much he loves to read.
I Run  ;Realistic Fiction;High Frequency Words: I;The girl in this story tells the reader all the things she does at the beach, including running.
I See  ;Realistic Fiction;High Frequency Words: see;The children in this story see lots of art supplies, and make different projects with them.
I See a Playground  ;Realistic Fiction;High Frequency Words: a;In this story readers learn all about a playground, and what equipment is there for children to use.
I See Ants  ;Realistic Fiction;High Frequency Words: I, see;The girl in this story tells readers all the things she sees on a picnic, including ants. 
I See Breakfast  ;Realistic Fiction;High Frequency Words: I, see;The boy in this story tells the reader all the foods he sees at breakfast.
I See Dinosaur Bones;Realistic Fiction;High Frequency Words: I, see;In this story, a class goes to the city for a field trip and tells the reader all the things they see.
I See My Friends  ;;High Frequency Words: my;The girl in this story tells the reader all the things she sees on her way to school, including her friends. 
I See My Reflection;Realistic Fiction;High Frequency Words:                           I, see, my;The boy in this story tells the reader all the things he sees when he wakes up in the morning, including his reflection.
I See Spring!;Informational;Respond;In this book, children will learn about the signs of spring.
It�s Spring;Informational;Respond;Many things happen in spring.
Jobs Around Town;Informational;Draw Conclusions;Children learn about several kinds of workers in their communities.
Kim and Kip;Realistic Fiction;Consonant k;Kim uses the Kip Cat Kit to find her cat Kip.
Kit;Fantasy;Short i words;Kit makes hamburgers for her and her friend.
Let�s Go!;Informational;Respond;Cars have many different parts.
Lin Has a Lab;Realistic Fiction;Consonant l;In her lab, Lin lights her mix with gas and creates a hot mix.
Look at Me;Realistic Fiction;wordless story;Three children get their faces painted by a clown.
Look At Me!;Realistic Fiction;Making Predictions;Readers see and read about a girl getting ready to go outside on a rainy day.
Look At The Animals;Realistic Fiction;predict;This is an illustrated text about animals with a humorous twist at the end.
Magic Paint;wordless;predict/infer;Animals take turns jumping to paint its color.
Max Can Mix;Realistic Fiction;Consonant x;Mom and Max have a box of cake mix they cook and fix with frosting.
Moonbear's Books ;Fantasy;Main Idea and Details;Moonbear enjoys reading all his books.
Mr. Gumpy's Outing;Humorous Fiction;predict/infer;This is a humorous story about a raucous boat ride that ends with tea.
My Birthday Party ;Labeled Pictures;summarize;This book is about a birthday party.
My Cat;Realistic Fiction;Sequence of Events           predict;Follow the pet cat as he does many things. 
My Cat (Life Science);Informational;Categorize and Classify;Children learn about the different parts of a cat.
My Family;Informational;Main Idea and Details;Children identify family members of one child�s immediate and extended family.
My Family Has Fun;Realistic Fiction;Story Structure                    question;A family does fun things together.
My Red Boat;Realistic Fiction;wordless story;A boy and his dad make a red sailboat and enter it in the boat race.
My Room;Realistic Fiction;Compare and Contrast;This book describes some of the things that can be seen in a bedroom.
Nan Can Nap;Fantasy;Consonant n;Nan can finally nap after moving the can and the pan.
Nan Cat;Realistic Fiction;Consonants n, f, p                 Short a (VC / CVC);Nan sits on the mat and pats and fans the cat until he runs off to get his food. 
Nat and Jen;Realistic Fiction;Initial Consonants                                 c, d, j, n, p, r, y;Nat and Jen help feed the animals on the farm and when they are finished they run fast to eat their lunch.
Nat at Bat;Humorous Fiction;Short a words;Nat gets up to bat at a baseball game.
Nat, Pat, and Nan;Fantasy;Short a words;Three bugs all go for a ride on the Ferris wheel.
Noisy and Quiet;Informational;Compare and Contrast;Some things are noisy while others are quiet.
On the Farm;Informational;Respond;Different animals can be seen and heard on a visit to the farm.
One Big Fat Fig;Realistic Fiction;Consonants b, r, h, g         Short i (VC/CVC);Sim finds a fig in a tree, hits it with a stick and eats it.
Our Jobs;Informational;Draw Conclusions;Children learn about several kinds of workers in their communities.
Pat and Nan;Realistic Fiction;Short a words;Pat and Nan fly a kite together.
Pets;Informational;question;Many different animals can be pets.
Rap! Rap! Rap!;Realistic Fiction;Consonant r;Nan visits with a big rap on the door.  She brings a toy big rig for the boy.
Sam Sat, Cat Sat;Realistic Fiction;Consonants m, s, c, t      Short a;Sam sits down to eat his sandwich, and so does the cat.
School Days Long Ago and Today;Historical;Compare and Contrast;This photo essay compares classrooms of the early 1900s with those of today.
Seasons;Realistic Fiction;evaluate;A father and daughter visit a bear in each of the four seasons, and observe the changes that take place.
Seasons (Earth Science);Informational;Compare and Contrast;A book that compares seasons in two very different locations.
See What We Can Do;Realistic Fiction;wordless story;In this story, we see many children and adults doing many things.
Sit, Pig!;Realistic Fiction;evaluate;Pigs do all sorts of interesting things
Snow;Informational;Respond;Snow does a lot of interesting things.
Snow Fun;Realistic Fiction;Initial m and s;On a snowy day a family builds a snowman together.
Sounds All Around;Realistic Fiction;Categorize and Classify;A picture book of sounds. (Ex. Hands can make sounds, animals can make sounds) 
Spring Rain;Realistic Fiction;predict;Two children get wet during a spring shower while their cat stays dry.
Surprise!;wordless;predict/infer;This wordless book shows what the children are doing up front in the picture, and what the other characters are going in the background. Readers learn what these children have to do with the surprise.
Tan Fan;Realistic Fiction;Short a words;The children in this story pat a bunny named Tan Fan, then he jumps away and is gone.
Tap, Tap, Tap;Realistic Fiction;Consonant p;Pam and Pat can both tap.
The Birthday Party;Realistic Fiction;wordless story;A family plans a birthday party for the birthday girl.
The Cat (Life Science);Informational;Compare and Contrast;Children learn about the different parts of a cat.
The Farm;Informational;summarize  ;This book is about animals seen at a farm. The book contains repetitive text with photographs of animals. 
The Fox and the Dog;Realistic Fiction;Short o;Mom, Pop, Ron and the Dog go for a walk in the woods where they see a fox.
The Parade;Fantasy;wordless story;A bunch of animals have a musical parade.
Things I See;Informational;Sequence                                  predict;A variety of things can be seen in the natural world, including a bug, bird, grass, tree, pumpkin, and sky.
This Is My Family;Informational;Main Idea and Details;This book identifies members of one child�s family, including immediate and extended family members.
Tigers, Elephants, and Giraffes;Informational;Compare and Contrast;Tigers, elephants, and giraffes do some of the same things.
Trolley Ride;Informational;Respond;In this book, people take a trolley ride.
Two Bear Cubs;Realistic Fiction;summarize;This delightful adventure follows two bear cubs as they explore the world almost on their own.
Vegetable Soup;Informational;summarize;A parent and child use the ingredients needed to make a soup.
Viv and Vic;Realistic Fiction;Consonant v;Viv rides in her van to give Vic his present - a big, big toy, van.
Wag, Wag, Win!;Fantasy;Consonant w;The dogs on the team wag, tap and hit their way to a ball game win.
We Are a Big Family;Realistic Fiction;Story Structure                      ;This story is about a family of very tall people. 
We Can Make It;Realistic Fiction;wordless story;A bunch of children do different tasks as they prepare for the city fair.
We Go to School;Realistic Fiction;wordless story;In this story, children wake up and get ready for school.
We Like Pie!;Realistic Fiction;Draw Conclusions;This story follows a family as it makes apple pies together.
We Like to Play!;Informational;Text Organization;This nonfiction book describes a variety of activities children enjoy.
We Ride!;Informational;Respond;People ride many different things.
Weather Days;Informational;predict;Different people like different kinds of weather.
What Can You Do?;Informational;predict;Children can do lots of things!
What Goes Together? (Physical Science);Informational;Categorize and Classify;A book that describes how different objects have similar things in common, whether it be color, shape, or size. 
What�s for Lunch?;Informational;predict;Birds eat a variety of foods.
Where is the Dog?;Realistic Fiction;Respond;A dog is found in different places around a truck.
Who Can Be a Hero?;Narrative;Draw Conclusions;Students learn about different kinds of heroes.
Who Can Hit?;Realistic Fiction;Short i words;Nana and Nat play a game of baseball. Nan hits a home run.
Yak;Realistic Fiction;Consonant y;Yan feeds Yak a Yam.
Yum! Yum!;Fantasy;Short u;Mom and Cub run to a picnic where they drink water from a jug and eat buns - yum.
7 Uses for Air;Informational;Categorize and Classify;A book about various uses for air. 
A Bear Needs a Place to Climb;Realistic Fiction;Cause and Effect;A book that shows the many things a bear needs.
A Big Bin;Realistic Fiction;Consonant b;A bib, a big bat, and a big box can all fit in the big bin even with the lid on.
A Big Pig Bib;Realistic Fiction;Short i;Tim and Mim share their milk with the pig after they put a bib on him.
A New School;Informational;Compare and Contrast;A new school has lots of new things!
A Party!;Realistic Fiction;Sequence;This book describes the activities of a city neighborhood as it prepares for and enjoys a block party.
A Pot for Dan Cat;Fantasy;Short o words;Dan Cat finds a pot to hide in when Fan Fox chases him.
A Tree for All Seasons;Informational;Sequence of Events;A short picture book about the seasons focusing on how a tree changes through the seasons.
All Kinds of Shoes;Informational;predict;A simple photographic essay about the kinds of shoes many workers wear. 
Animals at Play   ;Informational;Compare and Contrast;This is an information book about many kinds of animals, and how they play. 
At Home and at School;Narrative;Compare and Contrast;This book compares students� tasks at home and at school.
At School;Informational;summarize;Children do many things at school.
At the Airport ;Informational;Categorize and Classify;This book helps children learn about the people and things one may see at an airport.
At the Beach;Informational;Story Structure;This nonfiction book is about the many activities children like to do at the beach.
At the Pond (Life Science);Informational;Main Idea and Details;A book about different living things that can be seen in a pond, including plants and animals. 
At the Zoo;Informational;Story Structure;In this story bears, lions, giraffes, monkeys, tigers, and elephants are all seen on a visit to the zoo.
At the Zoo;Realistic Fiction;predict/infer;The girl in this story goes to the zoo and tells about some zoo animals that she likes and that like her. 
At Work;Informational;Main Idea and Details;This picture book shows mothers and fathers at work, and children at school.
Bake Time;Fantasy;Initial Consonants                                 b, g, k, m, t, z, v;Cat is constantly baking. Readers watch Cat prepare a cake.
Ben;Fantasy;Short e words;Ben the bear is having trouble getting his pet out of the tree. Fox and Hen help him with his problem.
Big And Little;Informational;Compare and Contrast;This book is a photo essay about large and small animals.
Big Rig;Fantasy;Short i words;Big Rig digs a pit for Dan.
Can Pat Nap?;Fantasy;Consonant p;Pat tries to nap under a tree, but the bird in the tree taps so hard sap falls on Pat's cap and he can't nap.
Can Rox Fix It?;Realistic Fiction;Consonant r;Rox fixes the rod on the rig to make it rrrrrrrr.
Can We Go?;Realistic Fiction;Initial j and r              Phonogram -et;Bill and his Dad are sharing a book about different places. Bill wants to visit each place, and his Dad chooses a certain way to travel to each place.
Cars;Caption Book;Compare and Contrast;This book is about the kinds of cars the author likes.
Cars;Informational;Compare and Contrast;This book is a photographic essay about cars.
Cat;Realistic Fiction;Problem Solving;A dad and his little boy are trying to read a book, but their cat keeps getting in the way.
Cat! Cat! Cat!;Fantasy;Short a words;Three mice sit on the mat, until the cat comes along and scares them away.
Dad;Realistic Fiction;summarize;This is a story about a day in a busy dad's life. 
Different Seasons (Earth Science);Informational;Compare and Contrast;Seasons in two very different locations are compared.
Dig, Zig Pig!;Fantasy;predict/infer;Zig Pig drives a rig and discovers things as he is digging.
Dot and Dom Hop;Fantasy;Short o;Dot and Dom hop a lot - on a box and on a log.
Dot Fox;Fantasy;Consonants d, w, l, x      Short o (VC/CVC);Dot fox gets a wig, runs a lot, gets hot, and finally gets a fan.
Dot Got a Big Pot;Fantasy;Short a, i, o words;Dot cooks soup for Nan and Nat in her big, big pot.
Dot Hid;Realistic Fiction;Consonant d;Dan's hamster, Dot, hides in a lid.
Faces;Informational;Compare and Contrast;This book contains delightful photographs and text showing how children's faces are alike in expression, but unique in character.
Fan Cat Can Jump;Realistic Fiction;evaluate;When Fan Cat jumps on the roof, some helpful workers return her to Nan.
Fat, Fat Cat;Humorous Fiction;Consonant f;A little rat tries to find the fat, fat, fat cat balloon.
Flags Everywhere!;Informational;Categorize and Classify;This photo essay shows the different places Americans display their flag.
Follow the Leader;Realistic Fiction;Categorize and Classify;This picture book shows helpful adult leaders.
Food to Eat;Photo Book;Categorize and Classify;This is a photo book about food.
Friends;Narrative   ;Compare and Contrast;In this story, two friends tell what they like to do together.
Get Set! Play!;Fantasy;Short e words;Hen, Pig, and Fox each need to get something before they get wet.
Get Well, Fan Hen!  ;Fantasy;Categorize and Classify;Fan Hen is a little chicken that is not feeling well, so Fan's mother takes her to the vet.
Going for a Ride;Informational;Cause and Effect;This nonfiction book describes a variety of ways to go for a ride.
Growing Vegetable Soup;Informational;predict/infer;This book vividly recreates the process of growing your own vegetables, from seeds to soup.
Hap Has a Hat;Fantasy;Consonant h;Hap jumps to reach his hat.
Hat, Hats, Hats;Informational;Compare and Contrast          predict/infer;A variety of hats, the people who wear them, and the places where those people live, play, and work are explored in a series of brilliant photographs accompanied by simple, descriptive text.
Here, Kit! ;Realistic Fiction;Cause and Effect           predict;A boy tries to fetch his dog, Kit, as it begins to rain.
Home and School;Informational;Compare and Contrast;This book describes the activities that children take part in at home and at school.
Hot Soup!;Fantasy;Initial l and p;The bear family makes a hot soup together.
I Am;Realistic Fiction;Compare and Contrast;This book is about a little girl and all the things she tells about herself. 
I Can;Realistic Fiction;evaluate;This story is about a girl who copies her big sister, but can't do the things the older girl can do.
I Can Hop. Can You?;Informational;Compare and Contrast;A picture book of different animals and what they do to move. 
I Can Move! (Physical Science);Informational;Compare and Contrast;A book about the different ways a child can move. 
I See Colors;Informational;summarize  ;The author tells about the things she has and the colors those things are.
In the Tree;Realistic Fiction;Categorize and Classify;In this story, a number of animals and objects are sitting in a huge tree. 
It Can Fit;Humorous Fiction;Short u words;A family of squirrels moves out of their house - will everything fit?
Jim and Jan Zig;Fantasy;Consonant j;Jim and Han jig, tap, jump, and get jam.
Ken and Jen;Realistic Fiction;Short u words;Ken and Jen get hot digging a big pit, until a dog helps them cool off.
Len;Realistic Fiction;Consonant l;Len hit his leg on a log, but his mom fixes it.
Max Is Six;Realistic Fiction;Consonant x;Max is six and has a party. He blows out his wax candles and opens his presents - he gets a fox.
Meg;Realistic Fiction;Short e;Meg goes to the zoo. She sees a fox in a den, she meets a yak, sees a hen in the pen and wets a pig.
Monday Run Day;Fantasy;Sequence              predict/infer;Every day is different for the little dog in this story. Monday is a day to run, Tuesday is snooze day, and so on. Readers learn the days of the week and predict the rhyming words as they follow the little dog's antics.
My River;Fantasy;monitor/clarify                 summarize;A story about the variety of life that depends on the river.
My School;Caption Book;Compare and Contrast;In this book, a boy tells about his school. 
Nan Can!  ;Realistic Fiction;Categorize and Classify;Nan and her brother Pat play at home.
Nan, Nat, and Cat;Fiction;Consonant n;Nan and Nat play with their cat.
Not Yet;Realistic Fiction;Consonant y;After Yan finishes his homework, music practice and chores he can play with Kim - yes!
On Earth ;Informational;Main Idea and Details;This book shows a satellite view of earth and views of places on earth.
On Top of Spaghetti;Song;monitor/clarify                evaluate;An illustrated version of the popular children's song.
Once Upon a Dig;Fantasy;Consonants d, w, l, x      Short o (VC/CVC);Pig Wig and Dot Fox can dig a lot. 
One Red Rooster;Counting Book;Sequence;This book brings together animals, numbers and color to teach students rhyming and counting skills.
Our Families;Informational;Compare and Contrast;This story looks at children from different families around the world.
Our Party!;Realistic Fiction;Sequence;This book tells about a block party in a city neighborhood.
Outside the Window;Realistic Fiction;summarize;Two girls see some interesting sights as they look out a window in the winter.
Pat and Pig;Realistic Fiction;Cause and Effect      evaluate;Seven-year-old Pat gets a big hit at a baseball game and runs the bases with a new friend.
People Parts;Realistic Fiction;Categorize and Classify;A book about body parts and what they are used for.
Pets;Informational;Compare and Contrast;A simple photographic essay about all kinds of pets - little pets and big pets.
Pig Can Get Wet;Humorous Fiction;Short e words;Pig doesn't think she can get wet until Elephant sprays them all.
Pig Pals;Realistic Fiction;Initial f and p             Phonogram -ig;The children in the story all bring pigs for show-and-tell time. 
Pig Wig and Dan Ox;Fantasy;Short Vowels;Pig Wig and Dan Ox find out what can fit in the big, big box.
Plants (Life Science);Informational;Main Idea and Details;This book teaches children about different types of plants.
Quig Pig!;Humorous Fiction;/kw/ spelled qu;Quig the pig got full from eating lots of figs, nuts and buns with jam.
Recycle! (Earth Science);Informational;Main Idea and Details;A book about things that can be recycled. 
Rocks (Earth Science);Informational;Categorize and Classify;Different kinds of rocks are pictured and identified.
Sea Animals;Informational;question;Sea animals have many different kinds of tails.
Shoes;Realistic Fiction;evaluate;This story is about a boy who goes to the shoe store to buy shoes. 
Six Wet Pets;Fantasy;monitor/clarify;Six pets are caught in a downpour and take shelter together.
Slug and Bug;Fantasy;Compare and Contrast;Slug and Bug work out together, but Slug is unable to be like Bug.
Snuffy, Fluffy, and the Mice;Realistic Fiction;Short Vowels;In this story children show the readers their pets.
Spring in the City;Informational;Sequence of Events;In this story, people in the city are outside celebrating the good weather.
Summer;Informational;Main Idea and Details   evaluate;This selection presents visual scenes of summer.
Sun, Rain, and Snow;Informational;Compare and Contrast;Children are shown enjoying a variety of activities in all kinds of weather. 
Tag!;Realistic Fiction;Consonant g;Mag and Tim play tag.
Tan Van;Fantasy;Short i words;Dan Cat and Zig Pig both get ice cream from the tan van.
The Airport;Informational;Categorize and Classify;This book helps children learn about the people and things one may see at an airport.
The Barn Dance;Fantasy;Draw Conclusions;Cow tries to find a partner at the barn dance.
The Big Zig-Zag;Fantasy;Consonant z;A rabbit zigs and zags in her bumper car.
The Big, Big Box;Fantasy;Short o words;Fan Fox and Dan Cat find a hat in the big, big box.
The Bug Hut;Fantasy;Short u words;A bunch of bugs get together to throw Jan Bug a birthday party.
The Cake;Fantasy;Initial c and k             phonogram -it;There is a bite missing from the cake - was it Dog, Cat, Bird or Hamster that took the bite?
The City and the County;Informational;Noting Details                      question;Things families and children do in the city and the country are compared.
The Farm;Informational;Main Idea and Details;In this story, children visit a farm and have a great time participating in various farmyard activities.
The Garden;Realistic Fiction;Story Structure;In this story, a girl named Kate has fun in a garden.
The Hen Sat;Realistic Fiction;Short Vowels;The hen sat even when a bunch of animals ran past her.
The Horse's Hat;Fantasy;Initial d and h         Phonogram -at;A barnyard horse has a new hat. Readers find out what happens to the horse's hat.
The Parade;Informational;Text Organization          summarize;In this nonfiction book, readers are transported to a parade.
The Race;Fantasy;Story Structure                   question;Several animals are shown competing in a road race.
The Sky at Night;Informational;Categorize and Classify;A picture book with descriptions of each picture.
The Snowman;Realistic Fiction;Main Idea and Details;This story shows readers how to build a snowman.
The Toy Store;Realistic Fiction;Making Predictions;A boy walks around a toy store carrying a teddy bear and examining all the toys that interest him.
The Wheels on the Bus;Realistic Fiction;predict/infer               evaluate;This favorite children's song is incorporated into a storybook.
Things Can Change (Physical Science);Informational;Cause and Effect;A book that describes how different objects may change over time. 
Things I Can Do;Realistic Fiction;Oral Language;This story is about all the things the girl in the story can do.
Things I Like;Informational;summarize  ;The author tells about the things she likes and what colors they are.
Tim�s Pig Eats;Fantasy;Main Idea and Details;Tim�s pig overeats, but is restored to full health under the boy�s care.
To Fan Fox   ;Fantasy;predict/infer;A uniformed cat named Kit delivers some packages to Fan Fox.
Trip to a Pond (Life Science);Informational;Categorize and Classify;A book about different living things that can be seen in a pond, including plants and animals. 
Valentine Cat Sat, Sat, Sat;Realistic Fiction;Short a words;This story is about Valentine the cat.
Wag Pig and the Wig;Fantasy;Consonant w;Wag Pig has a bad wig. He needs to get it fixed before the Pig Hop. He wears a hat instead.
Wake Up!;Fantasy;Oral Language;Rabbit is sleepy, but coach tries everything he can to wake him up for the big race.
We Can Recycle (Earth Science);Informational;Categorize and Classify;A book about things that can be recycled. 
What I Wear;Informational;Predict Outcomes;The clothes children wear for different weather conditions are shown.
What Is the Weather Today? (Earth Science);Informational;Draw Conclusions;A book about all the different kinds of weather.
What Makes a Shadow? (Physical Science);Informational;Cause and Effect;This riddle book asks what makes a shadow. 
What Will I Be?;Informational;Compare and Contrast;A picture book on how animals grow and change.
Where Does the Brown Bear Go?;Fantasy;self-question            evaluate;A simple tale that tells where the animals - the stuffed animals, that is - go when night falls.
Zig Pig and Dan Cat;Fiction;Short i words;Zig Pig and Dan Cat dig for shells on the beach.
A Good Home;Fantasy;Compare and Contrast;Mike finds a snake, and looks for a place for it to live.
A Summer Day;Informational;Main Idea and Details   evaluate;Readers learn about summer and the wide range of things they can see and do during the season.
A Surprise Pet;Fantasy;Fantasy and Realism  monitor/clarify    ;A young girl who wants a pet finds there are problems with owning bears, giraffes, or pigs.
A Trip Across the Country;Realistic Fiction;Compare and Contrast;A family travels cross-country from Los Angeles to New York City.
A Walk in the City;Realistic Fiction;Clusters with s, l;A family goes for a walk in the city. It was a long walk, but not too long.
Aaron and Gayla's Alphabet Book;Realistic Fiction;question;Two friends share lots of fun - all the way from A to Z.
Animal Mothers;Informational;self-question            monitor;This book is an introduction to how animal mothers care for their young. 
Animals in the Rain Forest;Informational;predict;Rain forest animals have many interesting features.
At the Ice Cream Shop;Realistic Fiction;predict;Customers can get all kinds of ice cream at an ice cream shop.
At the Supermarket;Informational;summarize;This story is about a boy who helps his mother at the supermarket.
Baby Can Ride;Informational;Compare and Contrast  predict/infer;Readers see photographs of several baby animals and learn about how these babies stay close to their mothers.
Big Ben;Realistic Fiction;Short e words;Two boys go to the vet to pick up their dog, Big Ben.
Big, Small, or Just Right?;Fantasy;Categorize and Classify;A raccoon wonders who will move into the shed next to him.
Bill Bird;Realistic Fiction;Verb ending -ed;Bill, the Bird, eats everything off Jill's plate.
Bird and Lizard;Fantasy;Initial y and v               Phonogram -ut;Lizard tries many different ways to get into Bird's hut. Will Lizard find a way in by the end of the story?
Cabs, Cabs, Cabs;Realistic Fiction;Double final consonants    Short a words                     Plurals with -s;This is the story of Mack, and his big tan cab.
Can Jess Get a Bass?;Realistic Fiction;/s/ spelled -ss;Jess tries to catch bass in his net, but the bass pass his net.
Can Yak Knit?;Fantasy;Silent k in kn;Yak finally gets the knack at knitting after he removes the knot from the yarn.
Come Play With Me;Fantasy;Problem Solving;This is a fantasy story about a pig that just can't get his friends to play in the mud.
Dan and Dan;Photo Essay;summarize;A young boy, Dan, does everything with his grandfather, Dan.
Did Quin Quit?;Fantasy;/kw/ spelled qu;Quin didn't win at soccer or baseball, but he did not quit. He ran a race and was quick, quick, quick.
Dogs Learn Every Day;Informational;Sequence of Events;People teach dogs many things.
Drips and Drops on Gran;Realistic Fiction;r clusters;Gran goes on a trek where wet drips and drops come down.
Duff in the Mud;Realistic Fiction;Short u words;A little boy has to give his dog, Duff, a bath after he gets messy in the mud.
Fall Naps;Realistic Fiction;Plurals with -s;As cold weather sets in, animals begin to build dens for their long naps.
Fixing a Van;Realistic Fiction;Verb ending -ing;Hal is pulling, fixing, filling, waxing, and buffing the van.
Friends Share;Realistic Fiction;Problem Solving         ;Friends share in many different ways.
Fun and Games Then and Now;Historical;Categorize and Classify;This photo essay presents a comparison of early American and contemporary games that children play.
